Company;Revenue;;;Growth rate;;;EBIT;;;EBIT margin;;;P/B;;;ROE %;;;ROI %;;;Adjusted P/E;;;Adjusted EPS;;;Dividend;;;Dividend yield;;;EV/EBITDA;;;EV/EBIT;;;EV/S;;
Siili Solutions;58;70,4;81,3;19,70 %;21,40 %;15,50 %;5,2;2,5;4,6;8,90 %;3,50 %;5,70 %;3,7;2,9;3,2;21,30 %;7,80 %;16,90 %;25,50 %;8,60 %;13,20 %;17,4;22,2;15;0,64;0,36;0,66;0,39;0,23;0,34;3,50 %;2,80 %;3,40 %;11,7;15,4;9,1;13,4;25,7;15,5;1,2;0,9;0,9
Glaston;109,7;101,1;179,7;2,40 %;-7,80 %;77,60 %;4,6;3,7;0,4;4,20 %;3,70 %;0,20 %;2,4;2,1;1,3;7,00 %;5,40 %;-6,30 %;8,80 %;6,90 %;0,60 %;30,6;20,2;22,7;0,08;0,1;0,05;0,05;0,03;0,02;2,10 %;1,50 %;1,70 %;12;13,5;14,8;19,8;24,6;348;0,8;0,9;0,7
Efore;69,8;52,4;46,4;-7,40 %;-24,90 %;-11,50 %;-0,2;-7,2;-1,3;-0,30 %;-13,70 %;-2,70 %;3,2;1,7;2,6;-8,20 %;-94,90 %;-15,90 %;-1,00 %;-34,20 %;-5,70 %;-37,5;-0,3;-29,8;-0,01;-0,13;0;0;0;0;0,00 %;0,00 %;0,00 %;8,7;-7;17,4;-153;-3,5;-24,7;0,4;0,5;0,7
Innofactor;65,7;63,1;63,6;10,10 %;-3,80 %;0,70 %;-1,5;-3,9;0,9;-2,20 %;-6,10 %;1,50 %;1,3;0,6;1,2;-5,30 %;-13,70 %;1,70 %;-3,70 %;-10,20 %;2,40 %;91,2;-4,9;11,4;0,01;-0,07;0,07;0;0;0;0,00 %;0,00 %;0,00 %;36,1;-27,4;9,1;-32,3;-7,3;50,8;0,7;0,4;0,7
Bittium;51,6;62,8;78;-19,60 %;21,70 %;24,20 %;-6,2;2,8;6,2;-12,00 %;4,50 %;7,90 %;1,7;2,5;2,3;-2,50 %;3,50 %;5,30 %;-4,30 %;2,70 %;5,20 %;-65,2;67,8;43,3;-0,09;0,11;0,16;0,3;0,15;0,15;5,30 %;2,00 %;2,10 %;-60,9;32,3;18,4;-22,6;85,1;39,9;2,7;3,9;3,2
Etteplan;214,8;236,5;264,7;16,80 %;10,10 %;12,00 %;15,5;20,2;23,8;7,20 %;8,50 %;9,00 %;3,3;2,9;3,5;20,80 %;24,40 %;25,80 %;17,30 %;20,60 %;20,20 %;16;12,7;14,7;0,49;0,62;0,71;0,23;0,3;0,37;3,00 %;3,80 %;3,50 %;10,4;8,4;8,2;13,9;10,8;12,9;1;0,9;1,2
Nokia;23 148,00;22 563,80;23 583,80;-2,10 %;-2,50 %;4,50 %;15,4;-59;563,6;0,10 %;-0,30 %;2,40 %;1,3;1,8;1,4;-8,10 %;-3,50 %;0,20 %;0,20 %;-0,20 %;2,80 %;11,9;21,9;16,7;0,33;0,23;0,22;0,19;0,1;0,1;4,90 %;2,00 %;2,80 %;10;18,9;8,6;1 133,80;-419,7;32,6;0,8;1,1;0,8
Tieto;1 543,40;1 599,50;1 738,50;3,40 %;3,60 %;8,70 %;139,1;154,7;134;9,00 %;9,70 %;7,70 %;4,1;3,6;1,4;22,40 %;25,70 %;9,60 %;20,30 %;18,70 %;7,70 %;14,9;12,9;14,9;1,74;1,83;1,93;1,4;1,45;1,45;5,40 %;6,10 %;5,00 %;11;9,8;12,5;15;13,2;23,4;1,4;1,3;1,8
Kone;8 796,70;9 070,70;9 871,80;0,10 %;3,10 %;8,80 %;1 192,30;1 042,40;1 232,80;13,60 %;11,50 %;12,50 %;7,6;7;9,7;32,10 %;27,60 %;30,30 %;39,20 %;33,50 %;36,90 %;23,8;23,6;31,3;1,88;1,76;1,9;1,65;1,65;1,7;3,70 %;4,00 %;2,90 %;16,2;16,9;19,7;17,8;18,8;23,5;2,4;2,2;2,9
Konecranes;3 136,50;3 156,20;3 363,40;48,10 %;0,60 %;6,60 %;318,2;166,2;169,4;10,10 %;5,30 %;5,00 %;2,4;1,6;1,7;26,50 %;8,10 %;7,50 %;25,70 %;8,40 %;8,50 %;35,4;13,4;12;1,08;1,97;2,3;1,2;1,2;1,25;3,10 %;4,50 %;4,50 %;8;9;9,3;10,9;15,5;16,1;1,1;0,8;0,8
